,batch_size,n_channels,duration,fs,pha_n_bands,amp_n_bands,trainable,parameter_varied,gpac_init_time,gpac_comp_time,tp_comp_time,speedup,total_samples
0,2,2,1.0,256,10,10,False,batch_size,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
1,4,2,1.0,256,10,10,False,batch_size,0.007898569107055664,0.5101219177246094,0.048694944381713866,0.09545746357834788,2048
2,8,2,1.0,256,10,10,False,batch_size,0.008078336715698242,1.0203848361968995,0.05259814262390137,0.05154735817119858,4096
3,16,2,1.0,256,10,10,False,batch_size,0.008463382720947266,2.0394253730773926,0.06958222389221191,0.03411854378727071,8192
4,32,2,1.0,256,10,10,False,batch_size,0.008542537689208984,4.071849679946899,0.09181232452392578,0.02254806334725085,16384
5,64,2,1.0,256,10,10,False,batch_size,0.008536100387573242,8.226089477539062,0.16355538368225098,0.01988251940716558,32768
6,2,2,1.0,256,10,10,False,n_channels,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
7,2,4,1.0,256,10,10,False,n_channels,0.008153676986694336,0.5095151424407959,0.0491178035736084,0.09640106737223367,2048
8,2,8,1.0,256,10,10,False,n_channels,0.008309125900268555,1.0218053817749024,0.0529998779296875,0.05186885768562438,4096
9,2,16,1.0,256,10,10,False,n_channels,0.008336782455444336,2.0405999183654786,0.06692047119140625,0.03279450841349125,8192
10,2,32,1.0,256,10,10,False,n_channels,0.00845789909362793,4.081938028335571,0.09050726890563965,0.022172621994103227,16384
11,2,64,1.0,256,10,10,False,n_channels,0.008589982986450195,8.229169988632203,0.14488186836242675,0.01760589082040679,32768
12,2,2,0.5,256,10,10,False,duration,0.008543252944946289,0.24708027839660646,0.02572770118713379,0.10412689087971802,512
13,2,2,1.0,256,10,10,False,duration,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
14,2,2,2.0,256,10,10,False,duration,0.008120298385620117,0.24189300537109376,0.08441038131713867,0.3489575119695698,2048
15,2,2,4.0,256,10,10,False,duration,0.008422136306762695,0.24362583160400392,0.17201037406921388,0.7060432505728876,4096
16,2,2,8.0,256,10,10,False,duration,0.008406400680541992,0.24652762413024903,0.3383804798126221,1.3725864637134702,8192
17,2,2,1.0,256,10,10,False,fs,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
18,2,2,1.0,512,10,10,False,fs,0.008067131042480469,0.24226584434509277,0.08418197631835937,0.34747769148360563,2048
19,2,2,1.0,1024,10,10,False,fs,0.00834965705871582,0.24424390792846679,0.16378436088562012,0.6705770566592336,4096
20,2,2,1.0,256,5,10,False,pha_n_bands,0.006627559661865234,0.1277538776397705,0.03179945945739746,0.24891189249897266,1024
21,2,2,1.0,256,10,10,False,pha_n_bands,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
22,2,2,1.0,256,30,10,False,pha_n_bands,0.015254497528076172,0.7639684200286865,0.10412077903747559,0.13628937572258015,1024
23,2,2,1.0,256,50,10,False,pha_n_bands,0.02254796028137207,1.2715152263641358,0.168906831741333,0.13283901619040586,1024
24,2,2,1.0,256,70,10,False,pha_n_bands,0.02982473373413086,1.8292763710021973,0.23508696556091307,0.1285136403047272,1024
25,2,2,1.0,256,100,10,False,pha_n_bands,0.03934359550476074,2.550254774093628,0.3154261589050293,0.12368417544366059,1024
26,2,2,1.0,256,10,5,False,amp_n_bands,0.0065822601318359375,0.12793416976928712,0.03163132667541504,0.24724689840453165,1024
27,2,2,1.0,256,10,10,False,amp_n_bands,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
28,2,2,1.0,256,10,30,False,amp_n_bands,0.015070199966430664,0.7652943134307861,0.10324435234069824,0.13490803541693341,1024
29,2,2,1.0,256,10,50,False,amp_n_bands,0.022435426712036133,1.2734748363494872,0.16980304718017578,0.13333836078530548,1024
30,2,2,1.0,256,10,70,False,amp_n_bands,0.029500961303710938,1.790520477294922,0.23245668411254883,0.12982631981050513,1024
31,2,2,1.0,256,10,100,False,amp_n_bands,0.03922677040100098,2.5488566398620605,0.31292014122009276,0.1227688275308522,1024
32,2,2,1.0,256,10,10,False,trainable,0.009946107864379883,0.25577774047851565,0.0668004035949707,0.2611658210366499,1024
33,2,2,1.0,256,10,10,True,trainable,0.026587486267089844,0.3173061370849609,,,1024
